part,quantity,unit,spec,used_in,notes
2020 extrusion,9,pcs,240mm,chassis,
2020 extrusion,3,pcs,600mm,chassis,
3010 axial fan,1,pcs,,effector,
3010 blower fan,2,pcs,,effector,
Aluminum build plate,1,pcs,220mm,printer,
BMG gear kit,1,set,,extruder,
BTT SKR Pico,1,pcs,,printer,
C14 IEC power inlet,1,pcs,,psu,or similar
Carbon fiber tube,3,pcs,4mm x 30mm,effector,
Delta connecting arm,6,pcs,235mm,motion,
GT2 belt,4,m,6mm,motion,enough to cut into 3 equal lengths
JST connectors,1,as needed,,printer,
M2 heat set insert,4,pcs,M2x2.5x3.2mm,effector,
M2.5x6mm hex bolt,16,pcs,,"chassis, effector",chassis: for mounting electronics
M2x4mm hex bolt,4,pcs,,effector,
M3 heat set insert,2,pcs,M3x4mm,extruder,
M3 heat set insert,6,pcs,M3x4mm brass,motion,
M3 heat set insert,3,pcs,M3x5mm,psu,2 for AC endcap and 1 for DC endcap
M3 heat set insert,3,pcs,M3x6mm,extruder,
M3 heat set insert,6,pcs,M3x6mm brass,motion,
M3 heat set insert,6,pcs,M3x6x5mm,effector,
M3 hex nut,3,pcs,,chassis,for the bed mounts
M3 square nut,2,pcs,,effector,
M3 T-nut,6,pcs,,chassis,
M3x12mm hex bolt,2,pcs,,effector,
M3x14mm hex bolt,2,pcs,,effector,
M3x16mm button socket head cap screw,2,pcs,,extruder,
M3x18mm button socket head cap screw,2,pcs,,extruder,
M3x6mm hex bolt,15,pcs,,"motion, psu",
M3x8mm button socket head cap screw,2,pcs,,extruder,
M3x8mm hex bolt,28,pcs,,"chassis, motion",
M5 T-nut,47,pcs,,"chassis, psu",
M5x8mm button head hex bolt,47,pcs,,"chassis, psu",
Meanwell UHP-350-24 PSU,1,pcs,350W 24V,psu,
MGN12H linear rail,3,pcs,300mm,motion,
Paracord,1,as needed,,printer,for cable management
Raspberry Pi Zero W,1,pcs,,printer,
RepRap mechanical endstop switch,3,pcs,,motion,
Silicone heater,1,pcs,24V,printer,
Silicone wire,1,as needed,18AWG,printer,for power wiring
Silicone wire,1,as needed,24AWG,printer,for signal wiring
Split sleeving,1,as needed,1/4 inch,printer,
Spring steel shim washer,1,pcs,7mm OD x 5mm ID x 0.5mm thick,extruder,
Thermistor,1,pcs,3950,printer,
Triangle Lab Dragon Ace Volcano hotend,1,pcs,,effector,
Two part epoxy,1,set,,effector,
Zip tie,3,pcs,4mm,motion,
